Year,Resource,Country,per_1000,avgTop5_per1000
2017,Bed,Japan,13.05,9.748000000000001
2017,Bed,South Korea,12.27,9.748000000000001
2017,Bed,Russia,8.05,9.748000000000001
2017,Bed,Germany,8,9.748000000000001
2017,Bed,Austria,7.37,9.748000000000001
2017,Bed,Singapore,5.176174345668309,9.748000000000001
2017,Dr,Austria,5.18,4.593999999999999
2017,Dr,Norway,4.66,4.593999999999999
2017,Dr,Lithuania,4.56,4.593999999999999
2017,Dr,Switzerland,4.3,4.593999999999999
2017,Dr,Sweden,4.27,4.593999999999999
2017,Dr,Singapore,2.4,4.593999999999999
2017,Nurse,Norway,17.67,14.938
2017,Nurse,Switzerland,17.23,14.938
2017,Nurse,Iceland,14.5,14.938
2017,Nurse,Germany,13.13,14.938
2017,Nurse,Ireland,12.16,14.938
2017,Nurse,Singapore,7.4,14.938
